target,feature_set,n_rows,n_groups,n_features_raw,cv_kind,model,mae_mean,test_r2_mean
reversible_capacity_mah_g,A_composition_T,219,45,5,grouped,Baseline mean,201.8300090087231,-0.014837594020577827
reversible_capacity_mah_g,A_composition_T,219,45,5,shuffled,Baseline mean,202.36225713099682,-0.01227659291827976
reversible_capacity_mah_g,A_composition_T,219,45,5,grouped,Ridge,195.3675502033212,0.03324439963099857
reversible_capacity_mah_g,A_composition_T,219,45,5,shuffled,Ridge,183.043623363173,0.12923204039878078
reversible_capacity_mah_g,A_composition_T,219,45,5,grouped,Random Forest,150.8398304716308,0.38459934438128784
reversible_capacity_mah_g,A_composition_T,219,45,5,shuffled,Random Forest,132.37513746794033,0.5367680920753757
reversible_capacity_mah_g,A_composition_T,219,45,5,grouped,Extra Trees,155.7312915933914,0.37362188854720024
reversible_capacity_mah_g,A_composition_T,219,45,5,shuffled,Extra Trees,137.4269058430095,0.5153301257072003
reversible_capacity_mah_g,A_composition_T,219,45,5,grouped,Gradient Boosting,148.00015345059603,0.36067394821714127
reversible_capacity_mah_g,A_composition_T,219,45,5,shuffled,Gradient Boosting,126.82837376256265,0.561888713580271
reversible_capacity_mah_g,B_composition_T_time,219,45,6,grouped,Baseline mean,201.8300090087231,-0.014837594020577827
reversible_capacity_mah_g,B_composition_T_time,219,45,6,shuffled,Baseline mean,202.36225713099682,-0.01227659291827976
reversible_capacity_mah_g,B_composition_T_time,219,45,6,grouped,Ridge,187.8242518021254,0.10480636783077335
reversible_capacity_mah_g,B_composition_T_time,219,45,6,shuffled,Ridge,177.50696212517212,0.17351923462895968
reversible_capacity_mah_g,B_composition_T_time,219,45,6,grouped,Random Forest,151.0996030542139,0.3859322152085307
reversible_capacity_mah_g,B_composition_T_time,219,45,6,shuffled,Random Forest,132.26575955204027,0.5377828921934136
reversible_capacity_mah_g,B_composition_T_time,219,45,6,grouped,Extra Trees,156.60382354246408,0.37695706913584126
reversible_capacity_mah_g,B_composition_T_time,219,45,6,shuffled,Extra Trees,136.67079274922042,0.520488555382508
reversible_capacity_mah_g,B_composition_T_time,219,45,6,grouped,Gradient Boosting,149.44746767711564,0.361548335628081
reversible_capacity_mah_g,B_composition_T_time,219,45,6,shuffled,Gradient Boosting,126.22509916222434,0.5708708921436838
reversible_capacity_mah_g,C_surface_assisted_composition_T,219,45,6,grouped,Baseline mean,201.8300090087231,-0.014837594020577827
reversible_capacity_mah_g,C_surface_assisted_composition_T,219,45,6,shuffled,Baseline mean,202.36225713099682,-0.01227659291827976
reversible_capacity_mah_g,C_surface_assisted_composition_T,219,45,6,grouped,Ridge,197.6877636179868,0.01693744992626467
reversible_capacity_mah_g,C_surface_assisted_composition_T,219,45,6,shuffled,Ridge,183.85825217528821,0.12204605779479571
reversible_capacity_mah_g,C_surface_assisted_composition_T,219,45,6,grouped,Random Forest,151.81462817079102,0.38513383758757047
reversible_capacity_mah_g,C_surface_assisted_composition_T,219,45,6,shuffled,Random Forest,131.8463549684871,0.5449942254558671
reversible_capacity_mah_g,C_surface_assisted_composition_T,219,45,6,grouped,Extra Trees,155.69239116707425,0.37712809901409894
reversible_capacity_mah_g,C_surface_assisted_composition_T,219,45,6,shuffled,Extra Trees,136.53586256163788,0.5257669607962354
reversible_capacity_mah_g,C_surface_assisted_composition_T,219,45,6,grouped,Gradient Boosting,147.31136536366196,0.3887356844663655
reversible_capacity_mah_g,C_surface_assisted_composition_T,219,45,6,shuffled,Gradient Boosting,122.16117596928586,0.5978557046368038
reversible_capacity_mah_g,D_surface_assisted_composition_T_time,219,45,7,grouped,Baseline mean,201.8300090087231,-0.014837594020577827
reversible_capacity_mah_g,D_surface_assisted_composition_T_time,219,45,7,shuffled,Baseline mean,202.36225713099682,-0.01227659291827976
reversible_capacity_mah_g,D_surface_assisted_composition_T_time,219,45,7,grouped,Ridge,188.68604358449025,0.09228385620826096
reversible_capacity_mah_g,D_surface_assisted_composition_T_time,219,45,7,shuffled,Ridge,178.67152309145217,0.1655442234485418
reversible_capacity_mah_g,D_surface_assisted_composition_T_time,219,45,7,grouped,Random Forest,152.1844881306766,0.3850813221768138
reversible_capacity_mah_g,D_surface_assisted_composition_T_time,219,45,7,shuffled,Random Forest,131.8247332126272,0.5451389963772307
reversible_capacity_mah_g,D_surface_assisted_composition_T_time,219,45,7,grouped,Extra Trees,155.13577976113706,0.39012741589913347
reversible_capacity_mah_g,D_surface_assisted_composition_T_time,219,45,7,shuffled,Extra Trees,136.98957013565894,0.5199944735297493
reversible_capacity_mah_g,D_surface_assisted_composition_T_time,219,45,7,grouped,Gradient Boosting,146.65301301903833,0.38891573462130535
reversible_capacity_mah_g,D_surface_assisted_composition_T_time,219,45,7,shuffled,Gradient Boosting,122.28124628290851,0.5984913775445511
cycling_reversible_capacity_mah_g,A_stable_composition_T_cycle,123,37,6,grouped,Baseline mean,174.93270568636422,-0.00758646217742065
cycling_reversible_capacity_mah_g,A_stable_composition_T_cycle,123,37,6,shuffled,Baseline mean,175.21208182706442,-0.010736719160514996
cycling_reversible_capacity_mah_g,A_stable_composition_T_cycle,123,37,6,grouped,Ridge,179.23622868531933,-0.06986235012670616
cycling_reversible_capacity_mah_g,A_stable_composition_T_cycle,123,37,6,shuffled,Ridge,160.8144444933186,0.11807230141514313
cycling_reversible_capacity_mah_g,A_stable_composition_T_cycle,123,37,6,grouped,Random Forest,176.64354960576645,-0.0919003996139065
cycling_reversible_capacity_mah_g,A_stable_composition_T_cycle,123,37,6,shuffled,Random Forest,156.9204225737651,0.1515864909617275
cycling_reversible_capacity_mah_g,A_stable_composition_T_cycle,123,37,6,grouped,Extra Trees,172.68504834155004,-0.017942516540970566
cycling_reversible_capacity_mah_g,A_stable_composition_T_cycle,123,37,6,shuffled,Extra Trees,155.09780398591548,0.1800055856676389
cycling_reversible_capacity_mah_g,A_stable_composition_T_cycle,123,37,6,grouped,Gradient Boosting,190.41021041862723,-0.2646207404092886
cycling_reversible_capacity_mah_g,A_stable_composition_T_cycle,123,37,6,shuffled,Gradient Boosting,157.80110275174323,0.0926313720140799
cycling_reversible_capacity_mah_g,B_stable_composition_T_time_cycle,123,37,7,grouped,Baseline mean,174.93270568636422,-0.00758646217742065
cycling_reversible_capacity_mah_g,B_stable_composition_T_time_cycle,123,37,7,shuffled,Baseline mean,175.21208182706442,-0.010736719160514996
cycling_reversible_capacity_mah_g,B_stable_composition_T_time_cycle,123,37,7,grouped,Ridge,176.3988805723857,-0.0569634594086641
cycling_reversible_capacity_mah_g,B_stable_composition_T_time_cycle,123,37,7,shuffled,Ridge,159.37752548805793,0.12279727077440361
cycling_reversible_capacity_mah_g,B_stable_composition_T_time_cycle,123,37,7,grouped,Random Forest,174.22700977147113,-0.06223628760776512
cycling_reversible_capacity_mah_g,B_stable_composition_T_time_cycle,123,37,7,shuffled,Random Forest,155.89626470525386,0.1713211176427608
cycling_reversible_capacity_mah_g,B_stable_composition_T_time_cycle,123,37,7,grouped,Extra Trees,172.4940670936977,-0.014048716949323747
cycling_reversible_capacity_mah_g,B_stable_composition_T_time_cycle,123,37,7,shuffled,Extra Trees,152.78736435332152,0.20624845407263503
cycling_reversible_capacity_mah_g,B_stable_composition_T_time_cycle,123,37,7,grouped,Gradient Boosting,183.15779205934246,-0.1890191274657982
cycling_reversible_capacity_mah_g,B_stable_composition_T_time_cycle,123,37,7,shuffled,Gradient Boosting,155.21137358334857,0.13605665284906399
cycling_reversible_capacity_mah_g,C_surface_assisted_stable_composition_T_cycle,123,37,7,grouped,Baseline mean,174.93270568636422,-0.00758646217742065
cycling_reversible_capacity_mah_g,C_surface_assisted_stable_composition_T_cycle,123,37,7,shuffled,Baseline mean,175.21208182706442,-0.010736719160514996
cycling_reversible_capacity_mah_g,C_surface_assisted_stable_composition_T_cycle,123,37,7,grouped,Ridge,179.49910651529314,-0.07473811296786703
cycling_reversible_capacity_mah_g,C_surface_assisted_stable_composition_T_cycle,123,37,7,shuffled,Ridge,160.6108127084057,0.11353643618720788
cycling_reversible_capacity_mah_g,C_surface_assisted_stable_composition_T_cycle,123,37,7,grouped,Random Forest,171.58774662494056,-0.04605937347668432
cycling_reversible_capacity_mah_g,C_surface_assisted_stable_composition_T_cycle,123,37,7,shuffled,Random Forest,154.16783022253213,0.17682780414658972
cycling_reversible_capacity_mah_g,C_surface_assisted_stable_composition_T_cycle,123,37,7,grouped,Extra Trees,173.1741672743859,-0.0237793995797011
cycling_reversible_capacity_mah_g,C_surface_assisted_stable_composition_T_cycle,123,37,7,shuffled,Extra Trees,154.7150513877225,0.18437630607427435
cycling_reversible_capacity_mah_g,C_surface_assisted_stable_composition_T_cycle,123,37,7,grouped,Gradient Boosting,172.97290861578884,-0.049215797957884444
cycling_reversible_capacity_mah_g,C_surface_assisted_stable_composition_T_cycle,123,37,7,shuffled,Gradient Boosting,153.02506373728733,0.16388964838295417
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,grouped,Baseline mean,174.93270568636422,-0.00758646217742065
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,shuffled,Baseline mean,175.21208182706442,-0.010736719160514996
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,grouped,Ridge,176.30247959512482,-0.057376177179696564
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,shuffled,Ridge,159.85764524249998,0.11479276350112466
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,grouped,Random Forest,170.3542837719494,-0.029277496710427897
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,shuffled,Random Forest,154.41893901377912,0.1907250987512079
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,grouped,Extra Trees,172.76137923393946,-0.006418535366431222
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,shuffled,Extra Trees,153.6096948907597,0.20073041290967775
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,grouped,Gradient Boosting,170.8070204483777,-0.013632263036869041
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,shuffled,Gradient Boosting,150.70933424369377,0.20782538685762197
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,grouped,Baseline mean,174.93270568636422,-0.00758646217742065
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,shuffled,Baseline mean,175.21208182706442,-0.010736719160514996
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,grouped,Ridge,123.09200782820258,0.4803841294372495
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,shuffled,Ridge,116.22244757042289,0.522878105803578
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,grouped,Random Forest,124.71963717863689,0.42412751795896053
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,shuffled,Random Forest,115.33553787002614,0.516166867931886
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,grouped,Extra Trees,125.69049395935352,0.44076326011627387
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,shuffled,Extra Trees,117.30320969711052,0.5184622462718949
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,grouped,Gradient Boosting,128.08653271776421,0.39281901194337043
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,shuffled,Gradient Boosting,110.5874192596356,0.5506958814715319
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,grouped,Baseline mean,174.93270568636422,-0.00758646217742065
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,shuffled,Baseline mean,175.21208182706442,-0.010736719160514996
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,grouped,Ridge,124.06106827312769,0.47301796174808597
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,shuffled,Ridge,116.6538417283473,0.5202625630924513
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,grouped,Random Forest,124.46854196781622,0.41342504745563113
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,shuffled,Random Forest,114.3912171097647,0.5197893499914318
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,grouped,Extra Trees,125.74088402534055,0.44573557128818464
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,shuffled,Extra Trees,118.02780191810848,0.5128527281462494
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,grouped,Gradient Boosting,123.0644220913261,0.4244222983340603
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,shuffled,Gradient Boosting,110.44970032134113,0.5500921262545009
coulombic_efficiency_pct,B_composition_T_time,205,45,6,grouped,Baseline mean,10.357536268938608,-0.053297781213943685
coulombic_efficiency_pct,B_composition_T_time,205,45,6,shuffled,Baseline mean,10.040899743741106,-0.020048880710318295
coulombic_efficiency_pct,B_composition_T_time,205,45,6,grouped,Ridge,9.422551525242007,0.14477396001879406
coulombic_efficiency_pct,B_composition_T_time,205,45,6,shuffled,Ridge,8.946649565455282,0.20921060715166773
coulombic_efficiency_pct,B_composition_T_time,205,45,6,grouped,Random Forest,8.075268240139447,0.32378022838200904
coulombic_efficiency_pct,B_composition_T_time,205,45,6,shuffled,Random Forest,7.180653691455924,0.43419457338748113
coulombic_efficiency_pct,B_composition_T_time,205,45,6,grouped,Extra Trees,8.515958270866056,0.29230788880703784
coulombic_efficiency_pct,B_composition_T_time,205,45,6,shuffled,Extra Trees,7.469063744654469,0.4097162804382056
coulombic_efficiency_pct,B_composition_T_time,205,45,6,grouped,Gradient Boosting,8.080796490479285,0.34446660622786707
coulombic_efficiency_pct,B_composition_T_time,205,45,6,shuffled,Gradient Boosting,6.940566464111173,0.47870671899351014
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,grouped,Baseline mean,10.357536268938608,-0.053297781213943685
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,shuffled,Baseline mean,10.040899743741106,-0.020048880710318295
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,grouped,Ridge,8.019006692599485,0.38781893890002095
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,shuffled,Ridge,7.054056120833006,0.463888030176442
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,grouped,Random Forest,7.538057249008548,0.39957444422745403
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,shuffled,Random Forest,6.752837182778993,0.5028903742532045
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,grouped,Extra Trees,7.844747700269623,0.38028766705637407
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,shuffled,Extra Trees,6.905074365872047,0.4956329151009874
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,grouped,Gradient Boosting,7.6488582301108545,0.39045738421678833
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,shuffled,Gradient Boosting,6.666423774761124,0.5212396067803864
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,grouped,Baseline mean,146.4661581146106,-0.0993676145903768
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,shuffled,Baseline mean,138.9381023200476,-0.01767364923292103
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,grouped,Ridge,128.91212088060118,0.12320433090515936
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,shuffled,Ridge,119.57590296355175,0.2222046907457622
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,grouped,Random Forest,131.49184589886292,0.028158811269168305
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,shuffled,Random Forest,110.25192256732024,0.3316135490895403
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,grouped,Extra Trees,130.56620238755994,0.08917769594337066
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,shuffled,Extra Trees,108.49997521033603,0.3433758022823552
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,grouped,Gradient Boosting,138.7601130456909,-0.15656447556008812
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,shuffled,Gradient Boosting,107.39604067553677,0.3668759441710714
